Brain Area,Window Size,Window Start,Session,Train Accuracy,Test Accuracy
PPC,8,10,0588_20181003,"[54.95495495495496, 60.66066066066066, 63.66366366366366, 71.17117117117117, 70.27027027027027, 71.77177177177177, 71.77177177177177, 70.57057057057057, 70.87087087087087, 74.77477477477477, 73.27327327327328, 73.57357357357357, 69.66966966966967, 73.57357357357357, 74.47447447447448, 75.37537537537537, 73.57357357357357, 74.77477477477477, 73.87387387387388, 72.37237237237237, 75.67567567567568, 75.07507507507508, 76.87687687687688, 76.27627627627628, 77.47747747747748, 77.47747747747748, 77.47747747747748, 78.07807807807808, 77.77777777777777, 78.07807807807808, 78.67867867867868, 77.47747747747748, 78.07807807807808, 76.27627627627628, 77.77777777777777, 78.07807807807808, 77.47747747747748, 78.67867867867868, 76.57657657657657, 78.37837837837837, 78.67867867867868, 78.67867867867868, 79.57957957957957, 78.37837837837837, 79.27927927927928, 78.67867867867868, 78.97897897897897, 78.67867867867868]",66.66666666666667
PPC,8,11,0588_20181003,"[54.054054054054056, 57.65765765765766, 65.16516516516516, 67.26726726726727, 68.76876876876877, 70.27027027027027, 71.47147147147147, 71.77177177177177, 72.67267267267268, 73.27327327327328, 72.97297297297297, 74.47447447447448, 75.67567567567568, 74.77477477477477, 77.47747747747748, 77.17717717717717, 77.17717717717717, 77.77777777777777, 77.17717717717717, 78.07807807807808, 78.67867867867868, 80.48048048048048, 80.78078078078079, 81.68168168168168, 79.57957957957957, 80.78078078078079, 81.98198198198199, 82.28228228228228, 82.28228228228228, 82.58258258258259, 82.28228228228228, 83.18318318318319, 82.28228228228228, 84.08408408408408, 83.48348348348348, 83.78378378378379, 83.48348348348348, 82.28228228228228, 81.98198198198199, 83.78378378378379, 84.68468468468468, 84.38438438438439, 84.68468468468468, 85.28528528528528, 84.98498498498499, 84.98498498498499, 84.38438438438439, 84.68468468468468]",64.28571428571429
PPC,8,12,0588_20181003,"[48.648648648648646, 63.36336336336336, 65.46546546546547, 72.07207207207207, 71.77177177177177, 73.27327327327328, 72.07207207207207, 72.97297297297297, 72.97297297297297, 74.47447447447448, 75.37537537537537, 77.77777777777777, 76.87687687687688, 74.47447447447448, 78.67867867867868, 78.37837837837837, 78.07807807807808, 76.57657657657657, 79.27927927927928, 80.18018018018019, 78.37837837837837, 78.67867867867868, 78.67867867867868, 78.67867867867868, 78.97897897897897, 80.18018018018019, 79.27927927927928, 78.67867867867868, 79.87987987987988, 79.57957957957957, 79.57957957957957, 80.78078078078079, 80.18018018018019, 79.87987987987988, 80.48048048048048, 80.48048048048048, 79.87987987987988, 80.48048048048048, 79.87987987987988, 80.48048048048048, 80.18018018018019, 81.68168168168168, 81.08108108108108, 81.38138138138139, 81.68168168168168, 81.38138138138139, 81.08108108108108, 80.78078078078079]",73.80952380952381
PPC,8,13,0588_20181003,"[48.948948948948946, 57.95795795795796, 62.16216216216216, 66.96696696696696, 70.87087087087087, 72.07207207207207, 69.96996996996997, 74.17417417417417, 72.67267267267268, 72.07207207207207, 73.87387387387388, 74.77477477477477, 74.47447447447448, 74.17417417417417, 73.87387387387388, 75.07507507507508, 76.57657657657657, 75.37537537537537, 75.97597597597597, 75.67567567567568, 77.77777777777777, 77.17717717717717, 76.87687687687688, 78.37837837837837, 77.17717717717717, 77.77777777777777, 78.07807807807808, 80.48048048048048, 78.37837837837837, 79.27927927927928, 79.87987987987988, 78.37837837837837, 80.48048048048048, 80.48048048048048, 81.08108108108108, 78.97897897897897, 80.78078078078079, 81.68168168168168, 81.38138138138139, 82.58258258258259, 81.68168168168168, 83.18318318318319, 83.48348348348348, 83.78378378378379, 83.78378378378379, 83.48348348348348, 83.78378378378379, 82.28228228228228]",69.04761904761905
PPC,8,14,0588_20181003,"[48.948948948948946, 53.453453453453456, 62.46246246246246, 66.36636636636636, 66.36636636636636, 66.96696696696696, 69.66966966966967, 65.16516516516516, 68.46846846846847, 68.16816816816817, 71.47147147147147, 69.06906906906907, 69.96996996996997, 69.66966966966967, 69.06906906906907, 70.27027027027027, 68.76876876876877, 71.47147147147147, 70.87087087087087, 69.66966966966967, 71.77177177177177, 71.17117117117117, 71.47147147147147, 71.47147147147147, 71.47147147147147, 72.07207207207207, 71.47147147147147, 72.07207207207207, 72.37237237237237, 71.77177177177177, 72.07207207207207, 70.87087087087087, 72.37237237237237, 72.07207207207207, 70.87087087087087, 71.17117117117117, 71.77177177177177, 72.07207207207207, 72.07207207207207, 71.47147147147147, 72.37237237237237, 72.07207207207207, 72.97297297297297, 72.67267267267268, 72.67267267267268, 72.37237237237237, 73.57357357357357, 73.27327327327328]",64.28571428571429
PPC,8,15,0588_20181003,"[53.153153153153156, 57.35735735735736, 68.76876876876877, 67.86786786786787, 66.96696696696696, 69.66966966966967, 72.67267267267268, 71.77177177177177, 75.67567567567568, 73.27327327327328, 75.67567567567568, 72.37237237237237, 76.57657657657657, 73.87387387387388, 75.07507507507508, 76.27627627627628, 78.37837837837837, 77.77777777777777, 76.27627627627628, 78.37837837837837, 77.77777777777777, 78.37837837837837, 77.47747747747748, 76.57657657657657, 78.37837837837837, 78.97897897897897, 78.07807807807808, 76.87687687687688, 77.77777777777777, 78.07807807807808, 77.47747747747748, 78.67867867867868, 80.18018018018019, 79.87987987987988, 78.07807807807808, 79.57957957957957, 76.27627627627628, 77.77777777777777, 77.77777777777777, 79.87987987987988, 79.27927927927928, 79.57957957957957, 78.37837837837837, 79.57957957957957, 80.78078078078079, 80.48048048048048, 79.87987987987988, 79.87987987987988]",64.28571428571429
PPC,8,16,0588_20181003,"[46.246246246246244, 58.85885885885886, 63.66366366366366, 68.46846846846847, 67.56756756756756, 69.36936936936937, 72.07207207207207, 72.37237237237237, 73.57357357357357, 73.57357357357357, 73.87387387387388, 74.17417417417417, 73.57357357357357, 75.07507507507508, 75.07507507507508, 75.37537537537537, 75.97597597597597, 75.37537537537537, 75.37537537537537, 76.57657657657657, 77.77777777777777, 77.77777777777777, 77.47747747747748, 77.77777777777777, 76.87687687687688, 78.37837837837837, 77.77777777777777, 79.57957957957957, 78.67867867867868, 78.67867867867868, 78.37837837837837, 77.17717717717717, 78.97897897897897, 79.57957957957957, 79.57957957957957, 78.67867867867868, 77.17717717717717, 79.57957957957957, 79.27927927927928, 79.27927927927928, 79.27927927927928, 79.27927927927928, 79.27927927927928, 79.87987987987988, 79.57957957957957, 79.57957957957957, 79.87987987987988, 79.87987987987988]",65.47619047619048
PPC,8,17,0588_20181003,"[53.753753753753756, 56.15615615615616, 60.06006006006006, 65.76576576576576, 69.66966966966967, 70.57057057057057, 72.67267267267268, 72.67267267267268, 73.87387387387388, 75.07507507507508, 73.87387387387388, 74.77477477477477, 76.27627627627628, 75.37537537537537, 75.97597597597597, 74.47447447447448, 75.37537537537537, 76.27627627627628, 76.27627627627628, 78.07807807807808, 77.17717717717717, 78.37837837837837, 76.57657657657657, 79.27927927927928, 80.78078078078079, 78.67867867867868, 80.48048048048048, 79.27927927927928, 79.87987987987988, 78.37837837837837, 78.97897897897897, 79.87987987987988, 79.57957957957957, 78.07807807807808, 80.18018018018019, 77.77777777777777, 80.18018018018019, 78.97897897897897, 80.18018018018019, 79.27927927927928, 79.87987987987988, 79.87987987987988, 79.57957957957957, 79.87987987987988, 80.78078078078079, 79.87987987987988, 80.78078078078079, 79.57957957957957]",70.23809523809524
PPC,8,18,0588_20181003,"[50.450450450450454, 54.054054054054056, 54.354354354354356, 62.16216216216216, 67.26726726726727, 68.46846846846847, 72.07207207207207, 72.97297297297297, 74.77477477477477, 76.27627627627628, 75.37537537537537, 75.97597597597597, 77.47747747747748, 77.17717717717717, 77.77777777777777, 79.57957957957957, 77.77777777777777, 77.77777777777777, 78.37837837837837, 77.77777777777777, 79.27927927927928, 80.78078078078079, 81.08108108108108, 79.57957957957957, 79.87987987987988, 80.78078078078079, 79.87987987987988, 81.08108108108108, 81.38138138138139, 82.28228228228228, 81.38138138138139, 81.98198198198199, 81.68168168168168, 81.68168168168168, 81.68168168168168, 81.38138138138139, 81.08108108108108, 81.68168168168168, 82.58258258258259, 81.08108108108108, 82.28228228228228, 82.58258258258259, 82.58258258258259, 81.68168168168168, 82.58258258258259, 83.48348348348348, 82.88288288288288, 83.18318318318319]",60.714285714285715
PPC,8,19,0588_20181003,"[51.051051051051054, 57.35735735735736, 69.36936936936937, 71.47147147147147, 74.17417417417417, 73.57357357357357, 75.67567567567568, 74.77477477477477, 75.37537537537537, 77.47747747747748, 76.87687687687688, 78.07807807807808, 77.77777777777777, 77.47747747747748, 78.07807807807808, 78.07807807807808, 78.67867867867868, 78.97897897897897, 77.77777777777777, 78.97897897897897, 80.78078078078079, 81.68168168168168, 80.78078078078079, 79.57957957957957, 81.98198198198199, 81.68168168168168, 81.08108108108108, 82.88288288288288, 82.58258258258259, 81.68168168168168, 81.38138138138139, 81.98198198198199, 81.68168168168168, 81.98198198198199, 83.48348348348348, 81.68168168168168, 81.68168168168168, 81.68168168168168, 82.28228228228228, 80.78078078078079, 82.88288288288288, 83.18318318318319, 83.78378378378379, 82.28228228228228, 83.18318318318319, 83.48348348348348, 83.78378378378379, 83.18318318318319]",65.47619047619048
