Brain Area,Analysis Type,Neuron,Test Accuracy,p value
S1,GO,[3.01201803e+11],46.875,0.791
S1,GO,[3.01201803e+11],59.375,0.259
S1,GO,[3.01201803e+11],65.625,0.065
S1,GO,[3.01201803e+11],46.875,0.801
S1,GO,[4.06201804e+11],37.5,0.99
S1,GO,[4.06201804e+11],50.0,0.857
S1,GO,[4.06201804e+11],56.25,0.578
S1,GO,[4.06201804e+11],62.5,0.409
S1,GO,[4.06201804e+11],56.25,0.57
S1,GO,[4.06201805e+11],55.0,0.205
S1,GO,[4.06201805e+11],40.0,0.967
S1,GO,[4.06201805e+11],51.25,0.454
S1,GO,[4.06201805e+11],55.0,0.243
S1,GO,[4.06201806e+11],56.25,0.212
S1,GO,[4.06201806e+11],40.625,0.906
S1,GO,[4.06201806e+11],50.0,0.532
S1,GO,[4.06201806e+11],46.875,0.631
S1,GO,[4.10201804e+11],50.0,0.526
S1,GO,[4.10201804e+11],55.208333333333336,0.154
S1,GO,[4.10201804e+11],55.208333333333336,0.155
S1,GO,[4.10201805e+11],56.25,0.169
S1,GO,[4.10201805e+11],45.0,0.917
S1,GO,[5.31201805e+11],61.25,0.205
S1,GO,[5.31201805e+11],46.25,0.983
S1,GO,[5.31201805e+11],52.5,0.795
S1,GO,[5.31201805e+11],58.75,0.364
S1,GO,[5.31201805e+11],47.5,0.982
S1,GO,[5.31201805e+11],48.75,0.959
S1,GO,[5.31201805e+11],56.25,0.191
S1,GO,[5.31201805e+11],53.125,0.398
S1,GO,[5.31201805e+11],48.958333333333336,0.697
S1,GO,[5.31201805e+11],56.25,0.184
S1,GO,[5.31201805e+11],60.416666666666664,0.03
S1,GO,[5.88201808e+11],52.083333333333336,0.311
S1,GO,[5.88201808e+11],53.125,0.253
S1,GO,[5.88201808e+11],52.083333333333336,0.307
S1,GO,[5.88201808e+11],50.0,0.543
S1,GO,[5.88201808e+11],48.4375,0.664
S1,GO,[5.88201808e+11],47.65625,0.744
S1,GO,[5.88201809e+11],57.291666666666664,0.066
S1,GO,[5.88201809e+11],62.5,0.005
S1,GO,[5.88201809e+11],45.833333333333336,0.848
S1,GO,[5.88201809e+11],47.916666666666664,0.725
S1,GO,[5.88201809e+11],45.535714285714285,0.811
S1,GO,[5.88201809e+11],51.785714285714285,0.331
S1,GO,[5.88201809e+11],46.42857142857143,0.806
S1,GO,[5.88201809e+11],50.0,0.528
S1,GO,[5.88201809e+11],31.25,0.999
S1,GO,[5.88201809e+11],42.708333333333336,0.931
S1,GO,[5.88201809e+11],50.0,0.533
S1,GO,[5.88201809e+11],53.125,0.23
S1,GO,[5.8820181e+11],37.5,0.996
S1,GO,[5.8820181e+11],58.035714285714285,0.065
S1,GO,[7.56201808e+11],62.5,0.021
S1,GO,[7.56201808e+11],50.0,0.546
S1,GO,[7.56201809e+11],56.25,0.169
S1,GO,[7.56201809e+11],46.25,0.722
S1,GO,[7.56201809e+11],52.5,0.305
S1,GO,[7.56201809e+11],55.0,0.19
S1,GO,[7.56201809e+11],41.25,0.939
S1,GO,[7.56201809e+11],42.5,0.914
S1,GO,[7.5620181e+11],54.464285714285715,0.171
S1,GO,[7.5620181e+11],54.464285714285715,0.207
S1,GO,[7.5620181e+11],50.892857142857146,0.458
S1,GO,[7.5620181e+11],60.416666666666664,0.049
S1,GO,[7.5620181e+11],50.0,0.527
S1,GO,[7.5620181e+11],45.833333333333336,0.815
S1,GO,[1.14020191e+12],66.66666666666667,0.009
S1,GO,[1.14020191e+12],63.541666666666664,0.002
S1,GO,[1.14020191e+12],51.041666666666664,0.384
S1,GO,[1.14020191e+12],45.833333333333336,0.74
S1,GO,[1.14020191e+12],60.9375,0.028
S1,GO,[1.14020191e+12],54.6875,0.216
S1,GO,[1.14020191e+12],50.0,0.578
S1,GO,[1.14020191e+12],56.25,0.171
S1,GO,[3.01201803e+12],50.0,0.711
S1,GO,[3.01201803e+12],50.0,0.731
S1,GO,[3.01201803e+12],75.0,0.003
S1,GO,[3.01201803e+12],50.0,0.701
S1,GO,[3.01201803e+12],34.375,0.998
S1,GO,[3.01201803e+12],37.5,0.99
S1,GO,[3.01201803e+12],46.875,0.809
S1,GO,[3.01201803e+12],50.0,0.724
S1,GO,[3.01201803e+12],43.75,0.933
S1,GO,[3.01201803e+12],37.5,0.987
S1,GO,[3.01201803e+12],59.375,0.231
S1,GO,[4.06201804e+12],56.25,0.567
S1,GO,[4.06201804e+12],68.75,0.122
S1,GO,[4.06201804e+12],68.75,0.106
S1,GO,[4.06201804e+12],43.75,0.973
S1,GO,[4.06201804e+12],50.0,0.876
S1,GO,[4.06201804e+12],50.0,0.849
S1,GO,[4.06201804e+12],62.5,0.382
S1,GO,[4.06201805e+12],45.0,0.838
S1,GO,[4.06201805e+12],46.25,0.794
S1,GO,[4.06201805e+12],53.75,0.269
S1,GO,[4.06201805e+12],43.75,0.87
S1,GO,[4.06201805e+12],60.0,0.043
S1,GO,[4.06201805e+12],50.0,0.537
S1,GO,[4.06201805e+12],48.75,0.62
S1,GO,[4.06201806e+12],50.0,0.517
S1,GO,[4.06201806e+12],46.875,0.651
S1,GO,[4.06201806e+12],34.375,0.98
S1,GO,[4.06201806e+12],65.625,0.02
S1,GO,[4.06201806e+12],43.75,0.838
S1,GO,[4.06201806e+12],59.375,0.141
S1,GO,[4.06201806e+12],53.125,0.421
S1,GO,[4.10201804e+12],60.416666666666664,0.017
S1,GO,[4.10201804e+12],45.833333333333336,0.81
S1,GO,[4.10201804e+12],47.916666666666664,0.69
S1,GO,[4.10201805e+12],47.5,0.815
S1,GO,[4.10201805e+12],43.75,0.939
S1,GO,[4.10201805e+12],55.0,0.224
S1,GO,[5.31201805e+12],51.25,0.846
S1,GO,[5.31201805e+12],62.5,0.141
S1,GO,[5.31201805e+12],46.25,0.981
S1,GO,[5.31201805e+12],45.0,0.993
S1,GO,[5.31201805e+12],58.75,0.369
S1,GO,[5.31201805e+12],48.75,0.96
S1,GO,[5.31201805e+12],42.5,0.998
S1,GO,[5.31201805e+12],57.5,0.456
S1,GO,[5.31201805e+12],33.75,1.0
S1,GO,[5.31201805e+12],46.25,0.987
S1,GO,[5.31201805e+12],40.0,1.0
S1,GO,[5.31201805e+12],48.75,0.963
S1,GO,[5.31201805e+12],48.75,0.942
S1,GO,[5.31201805e+12],45.0,0.989
S1,GO,[5.31201805e+12],47.5,0.978
S1,GO,[5.31201805e+12],46.875,0.815
S1,GO,[5.31201805e+12],62.5,0.012
S1,GO,[5.31201805e+12],48.958333333333336,0.731
S1,GO,[5.31201805e+12],54.166666666666664,0.312
S1,GO,[5.31201805e+12],64.58333333333333,0.005
S1,GO,[5.31201805e+12],50.0,0.602
S1,GO,[5.31201805e+12],62.5,0.008
S1,GO,[5.31201805e+12],55.208333333333336,0.206
S1,GO,[5.31201805e+12],39.583333333333336,0.986
S1,GO,[5.31201805e+12],47.916666666666664,0.754
S1,GO,[5.31201805e+12],63.541666666666664,0.011
S1,GO,[5.31201805e+12],61.458333333333336,0.016
S1,GO,[5.31201805e+12],65.625,0.002
S1,GO,[5.31201805e+12],48.958333333333336,0.663
S1,GO,[5.31201805e+12],58.333333333333336,0.092
S1,GO,[5.31201805e+12],51.041666666666664,0.516
S1,GO,[5.31201805e+12],45.833333333333336,0.883
S1,GO,[5.31201805e+12],54.166666666666664,0.303
S1,GO,[5.88201808e+12],51.041666666666664,0.397
S1,GO,[5.88201808e+12],48.958333333333336,0.615
S1,GO,[5.88201808e+12],54.166666666666664,0.18
S1,GO,[5.88201808e+12],63.541666666666664,0.003
S1,GO,[5.88201808e+12],52.083333333333336,0.308
S1,GO,[5.88201808e+12],55.208333333333336,0.135
S1,GO,[5.88201808e+12],47.65625,0.738
S1,GO,[5.88201809e+12],54.166666666666664,0.24
S1,GO,[5.88201809e+12],47.916666666666664,0.718
S1,GO,[5.88201809e+12],42.708333333333336,0.958
S1,GO,[5.88201809e+12],46.875,0.787
S1,GO,[5.88201809e+12],50.0,0.586
S1,GO,[5.88201809e+12],46.875,0.781
S1,GO,[5.88201809e+12],52.083333333333336,0.354
S1,GO,[5.88201809e+12],57.291666666666664,0.06
S1,GO,[5.88201809e+12],48.958333333333336,0.664
S1,GO,[5.88201809e+12],46.875,0.822
S1,GO,[5.88201809e+12],50.0,0.581
S1,GO,[5.88201809e+12],54.166666666666664,0.227
S1,GO,[5.88201809e+12],59.375,0.033
S1,GO,[5.88201809e+12],46.875,0.791
S1,GO,[5.88201809e+12],53.125,0.303
S1,GO,[5.88201809e+12],50.0,0.588
S1,GO,[5.88201809e+12],46.875,0.803
S1,GO,[5.88201809e+12],58.333333333333336,0.04
S1,GO,[5.88201809e+12],54.166666666666664,0.238
S1,GO,[5.88201809e+12],47.916666666666664,0.726
S1,GO,[5.88201809e+12],43.75,0.914
S1,GO,[5.88201809e+12],46.875,0.777
S1,GO,[5.88201809e+12],45.833333333333336,0.836
S1,GO,[5.88201809e+12],51.041666666666664,0.448
S1,GO,[5.88201809e+12],59.375,0.03
S1,GO,[5.88201809e+12],50.892857142857146,0.415
S1,GO,[5.88201809e+12],54.464285714285715,0.149
S1,GO,[5.88201809e+12],50.0,0.533
S1,GO,[5.88201809e+12],66.07142857142857,0.0
S1,GO,[5.88201809e+12],55.357142857142854,0.129
S1,GO,[5.88201809e+12],60.0,0.028
S1,GO,[5.88201809e+12],64.0625,0.015
S1,GO,[5.88201809e+12],46.875,0.712
S1,GO,[5.88201809e+12],45.833333333333336,0.809
S1,GO,[5.88201809e+12],46.875,0.752
S1,GO,[5.88201809e+12],52.083333333333336,0.309
S1,GO,[5.88201809e+12],51.041666666666664,0.376
S1,GO,[5.88201809e+12],59.375,0.027
S1,GO,[5.8820181e+12],58.75,0.095
S1,GO,[5.8820181e+12],51.25,0.453
S1,GO,[5.8820181e+12],53.75,0.285
S1,GO,[5.8820181e+12],48.75,0.665
S1,GO,[5.8820181e+12],41.25,0.955
S1,GO,[5.8820181e+12],47.32142857142857,0.776
S1,GO,[5.8820181e+12],50.892857142857146,0.42
S1,GO,[5.8820181e+12],44.642857142857146,0.905
S1,GO,[7.56201808e+12],52.083333333333336,0.441
S1,GO,[7.56201808e+12],50.0,0.527
S1,GO,[7.56201808e+12],50.0,0.556
S1,GO,[7.56201808e+12],45.833333333333336,0.806
S1,GO,[7.56201809e+12],59.375,0.117
S1,GO,[7.56201809e+12],46.875,0.607
S1,GO,[7.56201809e+12],50.0,0.499
S1,GO,[7.56201809e+12],38.75,0.976
S1,GO,[7.56201809e+12],37.5,0.989
S1,GO,[7.56201809e+12],55.0,0.164
S1,GO,[7.56201809e+12],56.25,0.15
S1,GO,[7.56201809e+12],52.5,0.324
S1,GO,[7.56201809e+12],51.25,0.423
S1,GO,[7.56201809e+12],46.25,0.724
S1,GO,[7.56201809e+12],51.5625,0.471
S1,GO,[7.56201809e+12],48.4375,0.751
S1,GO,[7.56201809e+12],45.3125,0.865
S1,GO,[7.56201809e+12],42.1875,0.948
S1,GO,[7.56201809e+12],59.375,0.109
S1,GO,[7.5620181e+12],48.214285714285715,0.72
S1,GO,[7.5620181e+12],44.642857142857146,0.927
S1,GO,[7.5620181e+12],55.357142857142854,0.152
S1,GO,[7.5620181e+12],42.857142857142854,0.955
S1,GO,[7.5620181e+12],60.416666666666664,0.041
S1,GO,[7.5620181e+12],37.5,0.991
S1,GO,[7.5620181e+12],56.25,0.179
S1,GO,[7.5620181e+12],56.25,0.185
S1,GO,[7.5620181e+12],54.166666666666664,0.262
S1,GO,[7.5620181e+12],60.416666666666664,0.035
S1,GO,[7.5620181e+12],45.833333333333336,0.813
S1,GO,[7.5620181e+12],50.0,0.569
S1,GO,[7.5620181e+12],41.666666666666664,0.917
S1,GO,[1.14020191e+13],37.5,0.975
S1,GO,[1.14020191e+13],41.666666666666664,0.892
S1,GO,[1.14020191e+13],45.833333333333336,0.708
S1,GO,[1.14020191e+13],54.166666666666664,0.295
S1,GO,[1.14020191e+13],52.083333333333336,0.379
S1,GO,[1.14020191e+13],54.166666666666664,0.291
S1,GO,[1.14020191e+13],64.58333333333333,0.013
S1,GO,[1.14020191e+13],45.833333333333336,0.72
S1,GO,[1.14020191e+13],50.0,0.477
S1,GO,[1.14020191e+13],54.166666666666664,0.167
S1,GO,[1.14020191e+13],59.375,0.027
S1,GO,[1.14020191e+13],51.041666666666664,0.372
S1,GO,[1.14020191e+13],47.916666666666664,0.709
S1,GO,[1.14020191e+13],58.333333333333336,0.048
S1,GO,[1.14020191e+13],59.375,0.031
S1,GO,[1.14020191e+13],46.875,0.77
S1,GO,[1.14020191e+13],66.66666666666667,0.0
S1,GO,[1.14020191e+13],51.041666666666664,0.384
S1,GO,[1.14020191e+13],48.958333333333336,0.638
S1,GO,[1.14020191e+13],52.083333333333336,0.303
S1,GO,[1.14020191e+13],54.166666666666664,0.193
S1,GO,[1.14020191e+13],50.0,0.583
S1,GO,[1.14020191e+13],47.916666666666664,0.694
S1,GO,[1.14020191e+13],50.0,0.491
S1,GO,[1.14020191e+13],45.833333333333336,0.744
S1,GO,[1.14020191e+13],56.25,0.22
S1,GO,[1.14020191e+13],52.083333333333336,0.417
S1,GO,[1.14020191e+13],45.833333333333336,0.726
S1,GO,[1.14020191e+13],75.0,0.0
S1,GO,[1.14020191e+13],60.416666666666664,0.086
S1,GO,[1.14020191e+13],47.916666666666664,0.644
S1,GO,[1.14020191e+13],43.75,0.88
S1,GO,[1.14020191e+13],43.75,0.88
S1,GO,[1.14020191e+13],42.1875,0.928
S1,GO,[1.14020191e+13],62.5,0.025
S1,GO,[1.14020191e+13],68.75,0.0
S1,GO,[1.14020191e+13],60.9375,0.035
S1,GO,[1.14020191e+13],60.9375,0.037
S1,GO,[1.14020191e+13],64.0625,0.012
S1,GO,[1.14020191e+13],60.9375,0.033
S1,GO,[1.14020191e+13],60.9375,0.039
S1,GO,[1.14020191e+13],71.875,0.001
S1,GO,[1.14020191e+13],75.0,0.0
S1,GO,[1.14020191e+13],62.5,0.032
S1,GO,[1.14020191e+13],54.6875,0.225
S1,GO,[1.14020191e+13],56.25,0.14
S1,GO,[1.14020191e+13],59.375,0.055
S1,GO,[1.14020191e+13],45.3125,0.807
S1,GO,[1.14020191e+13],40.625,0.964
S1,GO,[1.14020191e+13],42.1875,0.93
S1,GO,[1.14020191e+13],60.9375,0.044
S1,GO,[1.14020191e+13],50.0,0.589
S1,GO,[1.14020191e+13],50.0,0.575
S1,GO,[1.14020191e+13],43.75,0.898
S1,GO,[1.14020191e+13],46.875,0.773
S1,GO,[1.14020191e+13],51.5625,0.379
S1,GO,[1.14020191e+13],51.5625,0.371
S1,GO,[1.14020191e+13],50.0,0.593
S1,LICK,[3.01201803e+11],59.375,0.925
S1,LICK,[3.01201803e+11],53.125,0.987
S1,LICK,[3.01201803e+11],43.75,1.0
S1,LICK,[3.01201803e+11],59.375,0.91
S1,LICK,[4.06201804e+11],50.0,0.976
S1,LICK,[4.06201804e+11],37.5,1.0
S1,LICK,[4.06201804e+11],18.75,1.0
S1,LICK,[4.06201804e+11],43.75,0.998
S1,LICK,[4.06201804e+11],43.75,1.0
S1,LICK,[4.06201805e+11],52.5,1.0
S1,LICK,[4.06201805e+11],57.5,0.999
S1,LICK,[4.06201805e+11],53.75,0.999
S1,LICK,[4.06201805e+11],61.25,0.972
S1,LICK,[4.06201806e+11],46.875,0.683
S1,LICK,[4.06201806e+11],46.875,0.644
S1,LICK,[4.06201806e+11],59.375,0.138
S1,LICK,[4.06201806e+11],53.125,0.431
S1,LICK,[4.10201804e+11],44.791666666666664,1.0
S1,LICK,[4.10201804e+11],65.625,0.77
S1,LICK,[4.10201804e+11],43.75,1.0
S1,LICK,[5.31201805e+11],53.75,1.0
S1,LICK,[5.31201805e+11],63.75,1.0
S1,LICK,[5.31201805e+11],50.0,1.0
S1,LICK,[5.31201805e+11],58.75,1.0
S1,LICK,[5.31201805e+11],66.25,1.0
S1,LICK,[5.31201805e+11],57.5,1.0
S1,LICK,[5.31201805e+11],52.083333333333336,0.997
S1,LICK,[5.31201805e+11],57.291666666666664,0.983
S1,LICK,[5.31201805e+11],31.25,1.0
S1,LICK,[5.31201805e+11],62.5,0.792
S1,LICK,[5.31201805e+11],52.083333333333336,0.998
S1,LICK,[5.88201808e+11],47.916666666666664,1.0
S1,LICK,[5.88201808e+11],61.458333333333336,1.0
S1,LICK,[5.88201808e+11],50.0,1.0
S1,LICK,[5.88201808e+11],65.625,1.0
S1,LICK,[5.88201808e+11],81.25,0.88
S1,LICK,[5.88201808e+11],62.5,1.0
S1,LICK,[5.88201809e+11],53.125,1.0
S1,LICK,[5.88201809e+11],47.916666666666664,1.0
S1,LICK,[5.88201809e+11],34.375,1.0
S1,LICK,[5.88201809e+11],50.0,1.0
S1,LICK,[5.88201809e+11],58.92857142857143,1.0
S1,LICK,[5.88201809e+11],37.5,1.0
S1,LICK,[5.88201809e+11],53.57142857142857,1.0
S1,LICK,[5.88201809e+11],53.75,0.587
S1,LICK,[5.88201809e+11],59.375,0.996
S1,LICK,[5.88201809e+11],43.75,0.994
S1,LICK,[5.88201809e+11],47.916666666666664,0.948
S1,LICK,[5.88201809e+11],50.0,0.869
S1,LICK,[5.8820181e+11],57.5,0.751
S1,LICK,[5.8820181e+11],53.57142857142857,1.0
S1,LICK,[7.56201808e+11],52.083333333333336,0.712
S1,LICK,[7.56201808e+11],37.5,1.0
S1,LICK,[7.56201809e+11],71.875,0.851
S1,LICK,[7.56201809e+11],28.75,1.0
S1,LICK,[7.56201809e+11],58.75,1.0
S1,LICK,[7.56201809e+11],27.5,1.0
S1,LICK,[7.56201809e+11],51.25,1.0
S1,LICK,[7.56201809e+11],70.0,1.0
S1,LICK,[7.5620181e+11],78.57142857142857,0.59
S1,LICK,[7.5620181e+11],60.714285714285715,1.0
S1,LICK,[7.5620181e+11],54.464285714285715,1.0
S1,LICK,[7.5620181e+11],68.75,0.926
S1,LICK,[7.5620181e+11],66.66666666666667,0.967
S1,LICK,[7.5620181e+11],58.333333333333336,0.999
S1,LICK,[1.14020191e+12],39.583333333333336,0.982
S1,LICK,[1.14020191e+12],45.833333333333336,1.0
S1,LICK,[1.14020191e+12],58.333333333333336,0.901
S1,LICK,[1.14020191e+12],37.5,1.0
S1,LICK,[1.14020191e+12],40.625,1.0
S1,LICK,[1.14020191e+12],56.25,0.647
S1,LICK,[1.14020191e+12],57.8125,0.564
S1,LICK,[1.14020191e+12],40.625,0.999
S1,LICK,[3.01201803e+12],62.5,0.734
S1,LICK,[3.01201803e+12],50.0,0.997
S1,LICK,[3.01201803e+12],56.25,0.951
S1,LICK,[3.01201803e+12],53.125,0.993
S1,LICK,[3.01201803e+12],59.375,0.91
S1,LICK,[3.01201803e+12],43.75,1.0
S1,LICK,[3.01201803e+12],56.25,0.95
S1,LICK,[3.01201803e+12],56.25,0.964
S1,LICK,[3.01201803e+12],59.375,0.902
S1,LICK,[3.01201803e+12],43.75,0.999
S1,LICK,[3.01201803e+12],37.5,1.0
S1,LICK,[4.06201804e+12],56.25,0.888
S1,LICK,[4.06201804e+12],50.0,0.983
S1,LICK,[4.06201804e+12],43.75,1.0
S1,LICK,[4.06201804e+12],37.5,1.0
S1,LICK,[4.06201804e+12],50.0,0.985
S1,LICK,[4.06201804e+12],50.0,0.977
S1,LICK,[4.06201804e+12],31.25,1.0
S1,LICK,[4.06201805e+12],66.25,0.801
S1,LICK,[4.06201805e+12],56.25,0.996
S1,LICK,[4.06201805e+12],57.5,0.998
S1,LICK,[4.06201805e+12],50.0,1.0
S1,LICK,[4.06201805e+12],80.0,0.006
S1,LICK,[4.06201805e+12],46.25,1.0
S1,LICK,[4.06201805e+12],55.0,0.999
S1,LICK,[4.06201806e+12],46.875,0.673
S1,LICK,[4.06201806e+12],62.5,0.055
S1,LICK,[4.06201806e+12],46.875,0.693
S1,LICK,[4.06201806e+12],46.875,0.688
S1,LICK,[4.06201806e+12],59.375,0.141
S1,LICK,[4.06201806e+12],50.0,0.563
S1,LICK,[4.06201806e+12],40.625,0.913
S1,LICK,[4.10201804e+12],42.708333333333336,1.0
S1,LICK,[4.10201804e+12],20.833333333333332,1.0
S1,LICK,[4.10201804e+12],39.583333333333336,1.0
S1,LICK,[5.31201805e+12],56.25,1.0
S1,LICK,[5.31201805e+12],47.5,1.0
S1,LICK,[5.31201805e+12],65.0,1.0
S1,LICK,[5.31201805e+12],53.75,1.0
S1,LICK,[5.31201805e+12],56.25,1.0
S1,LICK,[5.31201805e+12],46.25,1.0
S1,LICK,[5.31201805e+12],48.75,1.0
S1,LICK,[5.31201805e+12],47.5,1.0
S1,LICK,[5.31201805e+12],52.5,1.0
S1,LICK,[5.31201805e+12],51.25,1.0
S1,LICK,[5.31201805e+12],38.75,1.0
S1,LICK,[5.31201805e+12],61.25,1.0
S1,LICK,[5.31201805e+12],65.0,1.0
S1,LICK,[5.31201805e+12],62.5,1.0
S1,LICK,[5.31201805e+12],63.75,0.999
S1,LICK,[5.31201805e+12],54.166666666666664,0.997
S1,LICK,[5.31201805e+12],55.208333333333336,0.993
S1,LICK,[5.31201805e+12],51.041666666666664,0.998
S1,LICK,[5.31201805e+12],47.916666666666664,1.0
S1,LICK,[5.31201805e+12],66.66666666666667,0.33
S1,LICK,[5.31201805e+12],48.958333333333336,1.0
S1,LICK,[5.31201805e+12],43.75,1.0
S1,LICK,[5.31201805e+12],53.125,0.998
S1,LICK,[5.31201805e+12],52.083333333333336,0.998
S1,LICK,[5.31201805e+12],55.208333333333336,0.994
S1,LICK,[5.31201805e+12],56.25,0.988
S1,LICK,[5.31201805e+12],44.791666666666664,1.0
S1,LICK,[5.31201805e+12],56.25,0.986
S1,LICK,[5.31201805e+12],50.0,1.0
S1,LICK,[5.31201805e+12],37.5,1.0
S1,LICK,[5.31201805e+12],47.916666666666664,1.0
S1,LICK,[5.31201805e+12],58.333333333333336,0.952
S1,LICK,[5.31201805e+12],73.95833333333333,0.016
S1,LICK,[5.88201808e+12],52.083333333333336,1.0
S1,LICK,[5.88201808e+12],87.5,0.002
S1,LICK,[5.88201808e+12],57.291666666666664,1.0
S1,LICK,[5.88201808e+12],51.041666666666664,1.0
S1,LICK,[5.88201808e+12],70.83333333333333,0.986
S1,LICK,[5.88201808e+12],61.458333333333336,1.0
S1,LICK,[5.88201808e+12],45.3125,1.0
S1,LICK,[5.88201809e+12],67.70833333333333,1.0
S1,LICK,[5.88201809e+12],66.66666666666667,1.0
S1,LICK,[5.88201809e+12],60.416666666666664,1.0
S1,LICK,[5.88201809e+12],52.083333333333336,1.0
S1,LICK,[5.88201809e+12],54.166666666666664,1.0
S1,LICK,[5.88201809e+12],51.041666666666664,1.0
S1,LICK,[5.88201809e+12],57.291666666666664,1.0
S1,LICK,[5.88201809e+12],48.958333333333336,1.0
S1,LICK,[5.88201809e+12],61.458333333333336,1.0
S1,LICK,[5.88201809e+12],47.916666666666664,1.0
S1,LICK,[5.88201809e+12],43.75,1.0
S1,LICK,[5.88201809e+12],59.375,1.0
S1,LICK,[5.88201809e+12],60.416666666666664,1.0
S1,LICK,[5.88201809e+12],44.791666666666664,1.0
S1,LICK,[5.88201809e+12],36.458333333333336,1.0
S1,LICK,[5.88201809e+12],38.541666666666664,1.0
S1,LICK,[5.88201809e+12],19.791666666666668,1.0
S1,LICK,[5.88201809e+12],61.458333333333336,1.0
S1,LICK,[5.88201809e+12],57.291666666666664,1.0
S1,LICK,[5.88201809e+12],40.625,1.0
S1,LICK,[5.88201809e+12],70.83333333333333,1.0
S1,LICK,[5.88201809e+12],36.458333333333336,1.0
S1,LICK,[5.88201809e+12],56.25,1.0
S1,LICK,[5.88201809e+12],58.333333333333336,1.0
S1,LICK,[5.88201809e+12],51.041666666666664,1.0
S1,LICK,[5.88201809e+12],57.142857142857146,1.0
S1,LICK,[5.88201809e+12],60.714285714285715,1.0
S1,LICK,[5.88201809e+12],53.57142857142857,1.0
S1,LICK,[5.88201809e+12],55.357142857142854,1.0
S1,LICK,[5.88201809e+12],60.714285714285715,1.0
S1,LICK,[5.88201809e+12],38.75,0.999
S1,LICK,[5.88201809e+12],78.125,0.096
S1,LICK,[5.88201809e+12],48.4375,1.0
S1,LICK,[5.88201809e+12],50.0,0.893
S1,LICK,[5.88201809e+12],45.833333333333336,0.987
S1,LICK,[5.88201809e+12],34.375,1.0
S1,LICK,[5.88201809e+12],63.541666666666664,0.035
S1,LICK,[5.88201809e+12],56.25,0.394
S1,LICK,[5.8820181e+12],45.0,1.0
S1,LICK,[5.8820181e+12],26.25,1.0
S1,LICK,[5.8820181e+12],48.75,0.996
S1,LICK,[5.8820181e+12],26.25,1.0
S1,LICK,[5.8820181e+12],52.5,0.948
S1,LICK,[5.8820181e+12],44.642857142857146,1.0
S1,LICK,[5.8820181e+12],61.607142857142854,1.0
S1,LICK,[5.8820181e+12],41.07142857142857,1.0
S1,LICK,[7.56201808e+12],54.166666666666664,0.51
S1,LICK,[7.56201808e+12],50.0,0.799
S1,LICK,[7.56201808e+12],64.58333333333333,0.038
S1,LICK,[7.56201808e+12],45.833333333333336,0.946
S1,LICK,[7.56201809e+12],37.5,1.0
S1,LICK,[7.56201809e+12],53.125,1.0
S1,LICK,[7.56201809e+12],28.125,1.0
S1,LICK,[7.56201809e+12],56.25,1.0
S1,LICK,[7.56201809e+12],83.75,0.395
S1,LICK,[7.56201809e+12],52.5,1.0
S1,LICK,[7.56201809e+12],63.75,1.0
S1,LICK,[7.56201809e+12],60.0,1.0
S1,LICK,[7.56201809e+12],51.25,1.0
S1,LICK,[7.56201809e+12],51.25,1.0
S1,LICK,[7.56201809e+12],59.375,1.0
S1,LICK,[7.56201809e+12],59.375,1.0
S1,LICK,[7.56201809e+12],39.0625,1.0
S1,LICK,[7.56201809e+12],37.5,1.0
S1,LICK,[7.56201809e+12],35.9375,1.0
S1,LICK,[7.5620181e+12],58.92857142857143,1.0
S1,LICK,[7.5620181e+12],54.464285714285715,1.0
S1,LICK,[7.5620181e+12],44.642857142857146,1.0
S1,LICK,[7.5620181e+12],57.142857142857146,1.0
S1,LICK,[7.5620181e+12],62.5,0.997
S1,LICK,[7.5620181e+12],60.416666666666664,0.999
S1,LICK,[7.5620181e+12],50.0,1.0
S1,LICK,[7.5620181e+12],54.166666666666664,1.0
S1,LICK,[7.5620181e+12],56.25,1.0
S1,LICK,[7.5620181e+12],56.25,1.0
S1,LICK,[7.5620181e+12],62.5,0.995
S1,LICK,[7.5620181e+12],58.333333333333336,1.0
S1,LICK,[7.5620181e+12],68.75,0.92
S1,LICK,[1.14020191e+13],52.083333333333336,0.561
S1,LICK,[1.14020191e+13],56.25,0.334
S1,LICK,[1.14020191e+13],60.416666666666664,0.097
S1,LICK,[1.14020191e+13],54.166666666666664,0.449
S1,LICK,[1.14020191e+13],33.333333333333336,1.0
S1,LICK,[1.14020191e+13],85.41666666666667,0.0
S1,LICK,[1.14020191e+13],58.333333333333336,0.243
S1,LICK,[1.14020191e+13],58.333333333333336,0.239
S1,LICK,[1.14020191e+13],39.583333333333336,0.979
S1,LICK,[1.14020191e+13],73.95833333333333,0.011
S1,LICK,[1.14020191e+13],59.375,0.864
S1,LICK,[1.14020191e+13],54.166666666666664,0.983
S1,LICK,[1.14020191e+13],54.166666666666664,0.991
S1,LICK,[1.14020191e+13],55.208333333333336,0.975
S1,LICK,[1.14020191e+13],51.041666666666664,0.997
S1,LICK,[1.14020191e+13],75.0,0.004
S1,LICK,[1.14020191e+13],61.458333333333336,0.75
S1,LICK,[1.14020191e+13],75.0,0.007
S1,LICK,[1.14020191e+13],51.041666666666664,0.999
S1,LICK,[1.14020191e+13],60.416666666666664,0.816
S1,LICK,[1.14020191e+13],53.125,0.993
S1,LICK,[1.14020191e+13],51.041666666666664,1.0
