# Expt,Accuracy,Rank
11402019061473.0,0.5267632850241546,64.0
11402019061474.0,0.5701449275362319,89.0
11402019061408.0,0.5483091787439613,83.0
11402019061480.0,0.5175845410628019,43.0
11402019061409.0,0.5915942028985507,97.0
3012018032301.0,0.49729729729729727,26.0
3012018032302.0,0.5891891891891892,97.0
3012018032303.0,0.5837837837837838,91.0
3012018032307.0,0.6216216216216216,100.0
3012018032311.0,0.5783783783783785,91.0
3012018032312.0,0.5567567567567567,80.0
3012018032315.0,0.5891891891891892,96.0
3012018032317.0,0.5297297297297296,59.0
3012018032318.0,0.5243243243243244,62.5
3012018032321.0,0.5945945945945946,93.0
3012018032322.0,0.4648648648648649,11.5
3012018032326.0,0.4864864864864865,20.5
3012018032328.0,0.6270270270270271,98.0
3012018032336.0,0.6432432432432432,100.0
3012018032337.0,0.6486486486486487,99.0
4062018050303.0,0.5367307692307692,73.0
4062018050304.0,0.4909134615384616,24.0
4062018050305.0,0.5462980769230769,83.0
4062018050308.0,0.509375,39.0
4062018050311.0,0.5246153846153846,70.0
4062018050321.0,0.46312499999999995,10.0
4062018050328.0,0.4938942307692308,30.0
4062018050330.0,0.48461538461538467,27.0
4062018050337.0,0.4444230769230769,8.0
4062018050341.0,0.48442307692307696,28.0
4062018050359.0,0.4782692307692308,7.0
4062018062006.0,0.5049261083743841,38.0
4062018062007.0,0.5039408866995074,35.0
4062018062008.0,0.5736453201970443,82.0
4062018062009.0,0.5041871921182265,35.0
4062018062011.0,0.6512315270935961,100.0
4062018062019.0,0.5738916256157635,79.0
4062018062041.0,0.4896551724137931,26.0
4062018062046.0,0.45492610837438424,8.0
4062018062054.0,0.4401477832512316,2.0
4062018062055.0,0.5800492610837439,86.5
4062018062057.0,0.6435960591133005,100.0
4102018042703.0,0.5733333333333334,99.0
4102018042704.0,0.5311111111111111,79.5
4102018042705.0,0.5133333333333334,71.0
4102018042713.0,0.49333333333333335,28.5
4102018042717.0,0.5777777777777777,100.0
4102018042718.0,0.5777777777777778,99.0
4102018050302.0,0.5209274314965372,62.0
4102018050308.0,0.496386630532972,28.0
4102018050310.0,0.5010538994278833,36.0
4102018050313.0,0.5671785606744957,97.0
4102018050314.0,0.5084311954230654,44.0
5312018051703.0,0.5307387387387388,74.0
5312018051704.0,0.49340540540540534,33.0
5312018051705.0,0.5095495495495495,51.0
5312018051707.0,0.47708108108108116,7.0
5312018051708.0,0.5413333333333333,84.0
5312018051709.0,0.5121801801801802,58.0
5312018051710.0,0.5254774774774775,70.0
5312018051711.0,0.495963963963964,34.0
5312018051712.0,0.4960360360360361,37.0
5312018051713.0,0.4907387387387387,40.0
